Tm,Season,W,L,earned_runs,earned_runs_allowed,hits,hits_allowed,home_runs,home_runs_allowed,runs,runs_allowed,strikeouts,strikeouts_allowed,walks,walks_allowed
Los Angeles Angels,2014,98,64,773,590,1464,1307,155,126,773,630,1266,1342,450,463
Oakland Athletics,2014,88,74,729,524,1354,1269,146,147,729,572,1104,1244,552,378
Seattle Mariners,2014,87,75,634,512,1328,1240,136,137,634,554,1232,1317,363,427
Houston Astros,2014,70,92,629,662,1317,1437,163,139,629,723,1442,1137,468,452
Texas Rangers,2014,67,95,637,712,1400,1510,111,160,637,773,1162,1110,380,462
Washington Nationals,2014,96,66,686,495,1403,1351,152,110,686,555,1304,1288,488,326
Atlanta Braves,2014,79,83,573,547,1316,1369,123,121,573,597,1369,1301,441,436
New York Mets,2014,79,83,629,568,1306,1370,125,141,629,618,1264,1303,474,471
Miami Marlins,2014,77,85,645,614,1399,1481,122,114,645,674,1419,1190,452,423
Philadelphia Phillies,2014,73,89,619,621,1356,1396,125,134,619,687,1306,1255,401,478
St. Louis Cardinals,2014,90,72,619,564,1371,1321,105,123,619,603,1133,1221,443,435
Pittsburgh Pirates,2014,88,74,682,565,1436,1341,156,128,682,631,1244,1228,474,456
Milwaukee Brewers,2014,82,80,650,594,1366,1386,150,167,650,657,1197,1246,391,411
Cincinnati Reds,2014,76,86,595,576,1282,1282,131,163,595,612,1252,1290,393,474
Chicago Cubs,2014,73,89,614,638,1315,1398,157,115,614,707,1477,1311,413,467
Los Angeles Dodgers,2014,94,68,718,554,1476,1338,134,142,718,617,1246,1373,489,394
San Francisco Giants,2014,88,74,665,564,1407,1305,132,133,665,614,1245,1211,390,354
San Diego Padres,2014,77,85,535,523,1199,1300,109,117,535,577,1294,1284,441,430
Colorado Rockies,2014,66,96,755,772,1551,1528,186,173,755,818,1281,1074,358,499
Arizona Diamondbacks,2014,64,98,615,683,1379,1467,118,154,615,742,1165,1278,367,426
